inst name: dvi_encoder_m0/encb/q_m_reg[7]/opit_0_L5Q, gop: gopL5Q, impl:devALQ, loc(86, 312), worst slack: 11325
inst name: dvi_encoder_m0/encb/q_m_reg[8]/opit_0_L5Q, gop: gopL5Q, impl:devALQ, loc(46, 304), worst slack: 9140
inst name: dvi_encoder_m0/encg/N14_1_maj0_3/gateop, gop: gopLUT5, impl:devAL, loc(90, 348), worst slack: 10608
inst name: dvi_encoder_m0/encg/N21_1/gateop, gop: gopLUT5, impl:devBL_S, loc(86, 357), worst slack: 10556
inst name: dvi_encoder_m0/encg/N74_1_maj0_1/gateop, gop: gopLUT5, impl:devAL_S, loc(94, 361), worst slack: 10052
inst name: dvi_encoder_m0/encg/N94.eq_0/gateop_A2, gop: gopA2, impl:devABLC, loc(102, 364), worst slack: 8310
inst name: dvi_encoder_m0/encg/N95/gateop, gop: gopLUT5, impl:devCL, loc(106, 365), worst slack: 8310
inst name: dvi_encoder_m0/encg/N97.lt_0/gateop_A2, gop: gopA2, impl:devABLC_S, loc(94, 349), worst slack: 8343
inst name: dvi_encoder_m0/encg/N99.lt_0/gateop_A2, gop: gopA2, impl:devABLC, loc(94, 348), worst slack: 8196
inst name: dvi_encoder_m0/encg/N125_2/gateop_A2, gop: gopA2, impl:devABLC, loc(118, 361), worst slack: 9484
inst name: dvi_encoder_m0/encg/N125_4/gateop_A2, gop: gopA2, impl:devCDLC, loc(118, 361), worst slack: 9484
inst name: dvi_encoder_m0/encg/N135_sum3_6/gateop, gop: gopLUT5, impl:devAL_S, loc(114, 365), worst slack: 9991
inst name: dvi_encoder_m0/encg/N172_4/gateop, gop: gopLUT5, impl:devDL, loc(106, 365), worst slack: 8587
inst name: dvi_encoder_m0/encg/N229/gateop, gop: gopLUT5, impl:devBL, loc(118, 360), worst slack: 8196
inst name: dvi_encoder_m0/encg/N234_9/gateop, gop: gopLUT5, impl:devAL, loc(106, 357), worst slack: 10102
inst name: dvi_encoder_m0/encg/N243_4[1]/gateop, gop: gopLUT5, impl:devBL, loc(106, 365), worst slack: 9264
inst name: dvi_encoder_m0/encg/N243_4[2]/gateop, gop: gopLUT5, impl:devAL, loc(106, 364), worst slack: 9367
inst name: dvi_encoder_m0/encg/N243_4[3]/gateop, gop: gopLUT5, impl:devBL_S, loc(102, 365), worst slack: 9229
inst name: dvi_encoder_m0/encg/N243_5.fsub_1/gateop_A2, gop: gopA2, impl:devABLC, loc(118, 365), worst slack: 8590
inst name: dvi_encoder_m0/encg/N243_5.fsub_3/gateop_A2, gop: gopA2, impl:devCDLC, loc(118, 365), worst slack: 8310
inst name: dvi_encoder_m0/encg/N243_5.fsub_5/gateop, gop: gopA, impl:devALC, loc(118, 369), worst slack: 8310
inst name: dvi_encoder_m0/encg/N243_7[1]/gateop, gop: gopLUT5, impl:devAL, loc(106, 365), worst slack: 8310
inst name: dvi_encoder_m0/encg/N243_7[2]/gateop, gop: gopLUT5, impl:devBL, loc(106, 364), worst slack: 8606
inst name: dvi_encoder_m0/encg/N243_7[3]/gateop, gop: gopLUT5, impl:devAL_S, loc(102, 365), worst slack: 8530
inst name: dvi_encoder_m0/encg/N243_8_1/gateop_A2, gop: gopA2, impl:devABLC, loc(114, 364), worst slack: 8310
inst name: dvi_encoder_m0/encg/N243_8_3/gateop_A2, gop: gopA2, impl:devCDLC, loc(114, 364), worst slack: 8310
inst name: dvi_encoder_m0/encg/N243_8_5/gateop, gop: gopA, impl:devALC, loc(114, 368), worst slack: 8718
inst name: dvi_encoder_m0/encg/N245_3[0]/gateop, gop: gopLUT5, impl:devAL, loc(126, 364), worst slack: 8196
inst name: dvi_encoder_m0/encg/N245_3[1]/gateop, gop: gopLUT5, impl:devAL, loc(118, 360), worst slack: 8960
inst name: dvi_encoder_m0/encg/N245_3[2]/gateop, gop: gopMUX4TO1, impl:devBMUX, loc(126, 360), worst slack: 8684
inst name: dvi_encoder_m0/encg/N245_3[3]/gateop, gop: gopMUX4TO1, impl:devAMUX_S, loc(114, 361), worst slack: 9760
inst name: dvi_encoder_m0/encg/N245_5[1]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(102, 356), worst slack: 8800
inst name: dvi_encoder_m0/encg/N245_5[2]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(106, 349), worst slack: 8779
inst name: dvi_encoder_m0/encg/N245_5[3]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(98, 353), worst slack: 9095
inst name: dvi_encoder_m0/encg/N245_5_1/gateop_A2, gop: gopA2, impl:devABLC, loc(114, 352), worst slack: 8196
inst name: dvi_encoder_m0/encg/N245_5_3/gateop_A2, gop: gopA2, impl:devCDLC, loc(114, 352), worst slack: 8196
inst name: dvi_encoder_m0/encg/N245_5_5/gateop, gop: gopA, impl:devALC, loc(114, 356), worst slack: 8282
inst name: dvi_encoder_m0/encg/N245_7[1]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(102, 352), worst slack: 8874
inst name: dvi_encoder_m0/encg/N245_7[2]/gateop, gop: gopMUX4TO1, impl:devBMUX, loc(106, 349), worst slack: 8885
inst name: dvi_encoder_m0/encg/N245_7[3]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(98, 357), worst slack: 8927
inst name: dvi_encoder_m0/encg/N245_8.fsub_2/gateop_A2, gop: gopA2, impl:devABLC, loc(102, 348), worst slack: 8779
inst name: dvi_encoder_m0/encg/N245_8.fsub_4/gateop_A2, gop: gopA2, impl:devCDLC, loc(102, 348), worst slack: 8779
inst name: dvi_encoder_m0/encg/N351_maj0_1/gateop, gop: gopLUT5, impl:devBL, loc(90, 361), worst slack: 11101
inst name: dvi_encoder_m0/encg/N351_sum0_3/gateop, gop: gopLUT5, impl:devAL, loc(90, 361), worst slack: 10556
inst name: dvi_encoder_m0/encg/N354_maj0_1/gateop, gop: gopLUT5, impl:devAL_S, loc(94, 353), worst slack: 10801
inst name: dvi_encoder_m0/encg/N354_sum0_3/gateop, gop: gopLUT5, impl:devAL_S, loc(94, 357), worst slack: 11174
inst name: dvi_encoder_m0/encg/N360_ab0/gateop, gop: gopLUT5, impl:devAL, loc(94, 364), worst slack: 10556
inst name: dvi_encoder_m0/encg/N365_maj0_1/gateop, gop: gopLUT5, impl:devAL_S, loc(86, 345), worst slack: 11468
inst name: dvi_encoder_m0/encg/N368_maj0_1/gateop, gop: gopLUT5, impl:devAL_S, loc(86, 349), worst slack: 11594
inst name: dvi_encoder_m0/encg/N368_sum0_2/gateop, gop: gopLUT5, impl:devAL, loc(90, 340), worst slack: 10608
inst name: dvi_encoder_m0/encg/N374_ab0/gateop, gop: gopLUT5, impl:devBL, loc(90, 341), worst slack: 11338
inst name: dvi_encoder_m0/encg/N374_sum0/gateop, gop: gopLUT5, impl:devAL, loc(90, 341), worst slack: 10608
inst name: dvi_encoder_m0/encg/cnt[0]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ_S, loc(102, 357), worst slack: 8683
inst name: dvi_encoder_m0/encg/cnt[1]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ, loc(114, 360), worst slack: 8579
inst name: dvi_encoder_m0/encg/cnt[2]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ_S, loc(102, 357), worst slack: 8224
inst name: dvi_encoder_m0/encg/cnt[3]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ, loc(114, 360), worst slack: 8196
inst name: dvi_encoder_m0/encg/cnt[4]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(114, 360), worst slack: 8282
inst name: dvi_encoder_m0/encg/din_q[0]/opit_0, gop: gopQ, impl:devDQ, loc(86, 344), worst slack: 10225
